id,name,addr,lat,lng,dong,detailtype,detailtype_str,detailtype2_str
937,못거리가든,제주특별자치도 제주시 한림읍 한림중앙로 283,33.3930236446939,126.277924861002,한림읍,6,한식,가정식
938,주민상회 제주노형점,제주특별자치도 제주시 다랑곶2길 12,33.4880804102746,126.478787086609,노형동,3,주점,주류
939,신산서해닭집,제주특별자치도 제주시 고마로17길 11,33.5060354863018,126.541981379236,일도2동,5,피자.치킨.햄버거,치킨
940,제라진뚝배기갈비찜,제주특별자치도 제주시 도공로 20 1층,33.5045044459763,126.465213630693,도두동,6,한식,갈비
941,제마닭,제주특별자치도 제주시 신성로12길 38,33.4942599220173,126.53214904869,연동,6,한식,가정식
942,경풍식당,제주특별자치도 제주시 오일장중길 55,33.4969609854516,126.473009617871,도두동,6,한식,단품요리 전문
943,돈날개,제주특별자치도 제주시 독짓골2길 1,33.491865023416,126.529483209128,이도2동,6,한식,돼지고기
944,신전떡볶이 용담점,제주특별자치도 제주시 용담로 77 1층,33.5126646140559,126.511031783212,용담2동,4,간식,분식
945,커피욜로,제주특별자치도 제주시 구남로2길 34 1층,33.4867860710658,126.534640015459,이도2동,4,음료,커피
946,곱딱,제주특별자치도 제주시 정존13길 21,33.4863554692479,126.476089181006,노형동,6,한식,가정식
947,첸사부의마라탕포차,제주특별자치도 서귀포시 성산읍 신양로 100,33.4364006068588,126.920366661716,성산읍,1,아시아음식,중식
948,월정리앤카멜리아,제주특별자치도 제주시 구좌읍 월정1길 46-2 1층,33.5553402111836,126.792159030277,구좌읍,6,한식,단품요리 전문
949,산계원,제주특별자치도 서귀포시 안덕면 형제해안로 80,33.2255064258106,126.299304878384,안덕면,6,고기,오리
950,모슬포정미소,제주특별자치도 서귀포시 대정읍 하모중앙로 57-3 1층,33.2229842480574,126.25240126068,대정읍,6,한식,단품요리 전문
951,제주보쌈삼화점,제주특별자치도 제주시 동화로1길 45-14,33.518361765162,126.577704661294,화북동,6,한식,단품요리 전문
952,미경이네포차,제주특별자치도 제주시 중앙로24길 19 1층,33.5059461669944,126.523111327655,삼도2동,6,한식,단품요리 전문
953,별미맛동태,제주특별자치도 제주시 중앙로 275-1 1층,33.4960813463172,126.533159827552,이도2동,6,한식,단품요리 전문
954,한라수제비,제주특별자치도 서귀포시 중앙로 189 지오빌2차아파트 203동 101호,33.2608938121963,126.557829768659,서홍동,6,한식,단품요리 전문
955,한솥도시락제주중문점,제주특별자치도 서귀포시 천제연로 182,33.2516098478975,126.423928847239,중문동,6,한식,도시락
956,콩툰동홍점,제주특별자치도 서귀포시 동홍중앙로 49 프라미스빌딩 5층,33.2550558185613,126.57183575331,동홍동,4,음료,커피
957,옥탑제이,제주특별자치도 서귀포시 동홍로 51,33.2532714068719,126.567407969773,동홍동,6,한식,단품요리 전문
958,카페홍리,제주특별자치도 서귀포시 지장샘로182번길 149,33.26830610711,126.565015632001,동홍동,4,음료,커피
959,씨씨씨카페커브코너,제주특별자치도 서귀포시 홍중로27번길 17 1층,33.2540392415406,126.557543324862,서홍동,6,한식,커피
960,미스터커피베어,제주특별자치도 제주시 용화로 61 1층,33.5094127993632,126.510060554414,용담2동,4,음료,커피
961,천해향,제주특별자치도 제주시 삼봉로 354,33.4915896632732,126.593342695981,봉개동,6,한식,가정식
962,푸라닭제주건입점,제주특별자치도 제주시 동문로 80,33.5135349960154,126.535102290484,일도2동,6,한식,치킨
963,다락방소주방,제주특별자치도 제주시 한림읍 한림북동길 16,33.4164576654778,126.264190309615,한림읍,6,한식,주류
964,통큰뼈감탕,제주특별자치도 제주시 애월읍 하귀동남1길 50-9,33.4854862642595,126.417021203791,애월읍,6,한식,가정식
965,부가네얼큰이 하귀점,제주특별자치도 제주시 애월읍 하귀9길 30 1층,33.4844216622956,126.415890088219,애월읍,6,한식,가정식
966,피엠푸드 신제주점,제주특별자치도 제주시 과원북2길 18,33.4787844379025,126.48401916808,노형동,5,피자.치킨.햄버거,피자
967,곰집해장국,제주특별자치도 제주시 구남로8길 27,33.4897032568894,126.5378407554,이도2동,6,한식,국밥
968,써니킴밥,제주특별자치도 제주시 수덕11길 1,33.4879942424598,126.475970852746,노형동,6,한식,가정식
969,베리웰탑동점,제주특별자치도 제주시 탑동로 13-1 1층,33.516982372981,126.523233008386,삼도2동,6,한식,가정식
970,꼭여기김밥,제주특별자치도 서귀포시 중산간동로 8002-2,33.2648125322469,126.561974483518,동홍동,4,간식,분식
971,HIERBA,제주특별자치도 제주시 조천읍 신촌남1길 33-8,33.5275325978386,126.618851871132,조천읍,6,한식,단품요리 전문
972,요기소바외도점,제주특별자치도 제주시 우령안1길 29 1층,33.486218645662,126.429639183515,외도동,1,아시아음식,일식
973,스몰사운드,제주특별자치도 제주시 연수로3길 5 지하1층,33.5027214442204,126.543504526063,일도2동,6,한식,단품요리 전문
974,여기왕언제먹을래?,제주특별자치도 서귀포시 대정읍 신영로 121 2층,33.2228176840347,126.25446874013,대정읍,6,한식,가정식
975,삼치회사랑,제주특별자치도 제주시 연삼로 355 1층,33.4928895382193,126.53030021031,이도2동,6,한식,가정식
976,애월연어 시청점,제주특별자치도 제주시 중앙로 266 영도갤럭시타운 1층,33.4961300404314,126.531799909918,이도2동,1,아시아음식,일식
977,족황상제 제주표선점,제주특별자치도 서귀포시 표선면 표선동서로 276-1 1층,33.3278737593749,126.834775455283,표선면,6,한식,가정식
978,투다리노형점,제주특별자치도 제주시 성신로1길 11,33.4913120211348,126.486766794958,연동,3,주점및주류판매,꼬치구이
979,미미록,제주특별자치도 제주시 애월읍 일주서로 7087-14 1층,33.4847742884604,126.405973017045,애월읍,6,한식,가정식
980,구이사이,제주특별자치도 제주시 애월읍 신엄9길 2,33.472224249872,126.368544103625,애월읍,6,한식,단품요리 전문
981,카페사분의일,제주특별자치도 제주시 신비마을1길 1-3,33.4462514107646,126.481308715532,노형동,4,카페,커피
982,큰아들 시청점,제주특별자치도 제주시 광양8길 15 1층,33.4996332452184,126.527896701204,이도2동,6,한식,가정식
983,뽕이네각재기3호점서귀포,제주특별자치도 서귀포시 일주동로 8806 1층,33.2541234431007,126.54826130934,서홍동,6,한식,가정식
984,불타는여고24시떡볶이외도점,제주특별자치도 제주시 신성로 19,33.4963298519357,126.52167784939,외도동,4,간식,분식
985,사계오름,제주특별자치도 제주시 복지로3길 2-9,33.4893015575734,126.521650425182,이도2동,6,한식,가정식
986,제주다온,제주특별자치도 제주시 조천읍 북선로 322-15,33.5126383471894,126.695691955732,안덕면,6,한식,가정식
987,제주돌하르방밀면,제주특별자치도 서귀포시 중문관광로 331,33.249866367282,126.430582360097,중문동,6,한식,면류
988,까사디동문,제주특별자치도 제주시 동문로4길 9 동문공설시장 지하 1층 A-5호,33.5120874337174,126.528242265925,일도1동,2,양식,양식
989,더조은치킨서귀포1호점,제주특별자치도 서귀포시 중산간동로 8002-1,33.2649054899395,126.561641845428,동홍동,5,패스트푸드,치킨
990,안녀어랭이,제주특별자치도 서귀포시 남원읍 태위로 725,33.2805927013948,126.723709784534,남원읍,6,한식,단품요리 전문
991,솜빡매생이갈비탕,제주특별자치도 제주시 도공로 26,33.5040151307854,126.465500755934,도두동,6,한식,갈비
992,오태식해바라기치킨  봉개점,제주특별자치도 제주시 봉개서길 7-6 1층,33.4913690966058,126.590457121761,봉개동,5,패스트푸드,치킨
993,카페갤러리앤샵,제주특별자치도 서귀포시 동홍중앙로 58-8 1층,33.2556198087209,126.572628097312,동홍동,4,음료,커피
994,화산양꼬치5호점,제주특별자치도 제주시 인다2길 36,33.4746246530163,126.549756653737,아라동,3,주점 및 주류판매,꼬치구이
995,신토계,제주특별자치도 제주시 연대마을길 15,33.4933171461372,126.426753027159,용담2동,6,한식,가정식
996,민속감자탕,제주특별자치도 제주시 삼무로9길 26,33.4914408718793,126.49453495379,연동,6,한식,감자탕
997,한림별미양곱창한림점,제주특별자치도 제주시 한림읍 한림중앙로 13-2 1층,33.4135119040153,126.264919425808,한림읍,6,한식,곱창
998,정씨네소몰이노형점,제주특별자치도 제주시 원노형남1길 32,33.4838322333204,126.483727676931,노형동,6,한식,가정식
999,노을코지,제주특별자치도 제주시 서해안로 386,33.5129237166257,126.484476173021,용담2동,4,음료,커피
1000,제주갈매기,제주특별자치도 제주시 애월읍 하광로 17 1층,33.4839268586966,126.41209317495,애월읍,6,한식,가정식
1001,한남1990,제주특별자치도 제주시 은남3길 19,33.4871568654918,126.493717449731,연동,6,한식,단품요리 전문
1002,제주닭한마리,제주특별자치도 제주시 연동7길 30 지하 1층,33.4872302576653,126.490528109697,연동,6,한식,치킨
1003,정주네 식당,제주특별자치도 제주시 중앙로1길 22,33.5161417319731,126.527114310935,건입동,6,한식,가정식
1004,호식이두마리치킨 구좌세화점,제주특별자치도 제주시 구좌읍 구좌로 22,33.5234204482473,126.853940392513,구좌읍,5,피자.치킨.햄버거,치킨
1005,커피마마제주연동점,제주특별자치도 제주시 연동7길 8,33.4891930358013,126.490574936439,연동,4,음료,커피
1006,시카고앤비비큐외도점,제주특별자치도 제주시 일주서로 7378,33.4937955416714,126.435218094859,외도동,5,패스트푸드,치킨
1007,황금숯불닭갈비,제주특별자치도 제주시 월랑로10길 25 1층,33.4905873214685,126.477874873408,노형동,6,한식,갈비
1008,야미부대찌개,제주특별자치도 제주시 한경면 녹차분재로 621,33.3239840155816,126.260474145596,한경면,6,한식,단품요리 전문
1009,제주골목국수,제주특별자치도 제주시 신성로 42-1 1층,33.4959934639347,126.523947796971,이도2동,6,한식,면류
1010,그분포차,제주특별자치도 제주시 진군4길 18,33.4767727282012,126.478936678823,노형동,6,한식,가정식
1011,표선그때그집,제주특별자치도 서귀포시 표선면 표선동서로 254-13 1층,33.3264032984197,126.833697547097,표선면,6,한식,가정식
1012,조천밀밀면,제주특별자치도 제주시 조천읍 조와로 366,33.5040983060945,126.6355847083,조천읍,6,한식,면류
1013,쿠키키cookiki,제주특별자치도 제주시 애월읍 하귀로 85 1층,33.4821297500521,126.405540257883,애월읍,6,한식,단품요리 전문
1014,삼화포크,제주특별자치도 제주시 건주로4길 12,33.5160238672994,126.579539683979,삼양동,6,한식,가정식
1015,미스제주가든,제주특별자치도 서귀포시 천제연로 145 1층,33.2532918439536,126.420691829851,중문동,6,한식,가정식
1016,한솥도시락 제주대정점,제주특별자치도 서귀포시 대정읍 하모상가로 35 1층,33.2216714211065,126.252553488658,대정읍,6,한식,도시락
1017,김씨며느리,제주특별자치도 제주시 문송길 25,33.4875354901153,126.4974055849,연동,6,한식,가정식
1018,뜨랑국수,제주특별자치도 서귀포시 신동로67번길 53 1층,33.2582664952292,126.510587136161,대륜동,6,한식,단품요리 전문
1019,봉기네 깡통구이,제주특별자치도 서귀포시 성산읍 고성오조로 38,33.446866609573,126.915190143427,성산읍,6,한식,가정식
1020,세안아구찜,제주특별자치도 제주시 신대로20길 12,33.483854371714,126.495075359805,연동,6,한식,아구찜
1021,두맹이갈비,제주특별자치도 제주시 동문로16길 13,33.5123947974254,126.534441617818,일도2동,6,한식,갈비
1022,옳은치킨,제주특별자치도 제주시 사장길 21,33.4837782299237,126.495750205814,연동,5,패스트푸드,치킨
1023,피자베이 대정점,제주특별자치도 서귀포시 대정읍 하모이삼로 56 1층,33.223390104908,126.253654403039,대정읍,2,양식,양식
1024,어하영,제주특별자치도 제주시 임항로 266,33.5171241615261,126.538193890075,건입동,6,한식,단품요리 전문
1025,카페요람,제주특별자치도 서귀포시 검은여로129번길 13,33.2532484099498,126.583086989026,영천동,4,음료,커피
1026,탤러해시,제주특별자치도 제주시 월랑로 47 1층,33.4894755284887,126.475048177158,노형동,6,한식,단품요리 전문
1027,알통떡강정동홍점,제주특별자치도 서귀포시 동홍중앙로 9,33.2514936272617,126.571879202549,동홍동,5,패스트푸드,치킨
1028,한식의 품격 신제주점,제주특별자치도 제주시 노연로 103,33.4861706480035,126.491369917859,연동,6,한식,가정식
1029,수제홍과일모찌,제주특별자치도 제주시 연동14길 14,33.4844594983502,126.49427381177,연동,4,간식,베이커리
1030,이치류제주점,제주특별자치도 제주시 인다10길 22 1층,33.4742575003859,126.547868097847,아라동,6,한식,가정식
1031,30년할매닭발 한림점,제주특별자치도 제주시 한림읍 한림로 690 1층,33.4163195278179,126.265161319392,한림읍,6,한식,치킨
