CMPNM_NM,ADSTRD_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE
바른한우,화북동,한식,소고기,0.2138888888888889,0.2038888888888889,0.005555555555555556,0.007222222222222223,0.023333333333333334,0.0661111111111111
신호등,대정읍,간식,분식,0.6852380952380953,0.9004761904761904,0.009047619047619047,0.053809523809523814,0.049523809523809526,0.33238095238095233
준이자까야,연동,주점 및 주류판매,맥주/요리주점,0.29666666666666663,0.19666666666666666,0.013333333333333334,0.03666666666666667,0.03666666666666667,0.13
리틀오사카,노형동,아시아음식,일식,0.36083333333333334,0.505,0.005,0.04833333333333333,0.030833333333333334,0.22333333333333336
보롬왓국수,연동,한식,가정식,0.405,0.445,0.04,0.2325,0.0625,0.30500000000000005
오일장미옥이네,노형동,한식,가정식,0.33095238095238094,0.4228571428571429,0.002380952380952381,0.02095238095238095,0.022857142857142857,0.15
조개구오,동홍동,한식,단품요리 전문,1.250909090909091,0.4481818181818182,0.049090909090909095,0.08181818181818182,0.18,0.23909090909090908
자담치킨 노형점,노형동,피자.치킨.햄버거,치킨,0.31,0.45999999999999996,0.005,0.02,0.035,0.21000000000000002
승주편의분식,이도1동,분식,분식,0.16999999999999998,0.655,0.0,0.025,0.02,0.30000000000000004
동백별장,노형동,주점,주류,1.3984615384615384,0.7923076923076924,0.2561538461538462,0.6076923076923078,0.3861538461538462,0.8130769230769231
빽보이피자제주이도점,이도2동,패스트푸드,피자,0.227,0.316,0.006,0.043,0.03,0.159
사브로소인제주,애월읍,한식,가정식,0.9590909090909091,0.5609090909090909,0.16272727272727272,0.37545454545454543,0.2490909090909091,0.5272727272727272
포차오월,노형동,한식,가정식,0.24666666666666667,0.17,0.006666666666666667,0.013333333333333334,0.036666666666666674,0.07333333333333333
빅트리,안덕면,한식,가정식,0.05909090909090909,0.21454545454545454,0.010909090909090908,0.14454545454545453,0.019090909090909092,0.20272727272727273
잇뽕사계,안덕면,한식,가정식,0.7279411764705882,0.6247058823529411,0.09294117647058824,0.4461764705882353,0.14352941176470588,0.6052941176470588
쭈희쭈꾸미,중문동,한식,주꾸미,0.24636363636363637,0.24181818181818182,0.029999999999999995,0.0990909090909091,0.051818181818181826,0.17636363636363636
가배두커피,이도2동,카페,커피,0.07,0.355,0.0,0.06,0.01,0.2
레드와칠리페퍼스,삼도2동,간식,베이커리,0.06285714285714286,0.25142857142857145,0.0,0.011428571428571429,0.008571428571428572,0.09142857142857143
모네의화원,연동,카페,커피,0.18615384615384614,0.3630769230769231,0.0023076923076923075,0.038461538461538464,0.022307692307692306,0.17230769230769233
누들보쌈배달만족신화월드점,안덕면,고기,보쌈,0.24,0.24,0.015,0.045,0.045,0.14
제주참맛뼈다귀탕,노형동,한식,단품요리 전문,0.4275,0.6725,0.0025,0.0425,0.03,0.2925
달리는커피제주도남오거리점,이도2동,카페,커피,0.135,0.565,0.0,0.04,0.02,0.27
나홀로횟집,용담2동,일식.회,회,0.865,0.355,0.04,0.095,0.12,0.22999999999999998
위트레이즌,이도2동,한식,단품요리 전문,1.5722222222222224,0.30111111111111116,0.09592592592592591,0.12814814814814815,0.1988888888888889,0.21296296296296297
아일랜드본섬,이도2동,아시아음식,일식,0.911875,0.378125,0.008125,0.015,0.074375,0.145
황금장어하귀점,애월읍,한식,장어,0.63625,0.31625000000000003,0.02125,0.02875,0.09375,0.12875
나름,이도2동,양식,양식,0.24545454545454548,0.19545454545454544,0.00409090909090909,0.01681818181818182,0.021363636363636362,0.07727272727272728
제주몹시,외도동,음료,커피,0.4755172413793104,0.9748275862068966,0.07758620689655173,0.7693103448275862,0.10793103448275862,0.9748275862068966
오렌지반점,송산동,중식,중식,0.275,0.5,0.03,0.235,0.060000000000000005,0.41000000000000003
메르디르뱅,삼양동,간식,베이커리,0.10500000000000001,0.315,0.0,0.07,0.01,0.21000000000000002
돈사무소 노형점,노형동,한식,돼지고기,0.8474999999999999,0.35,0.02,0.03,0.13,0.1475
