병원명,구분,토요일,일요일,공휴일,주소,위도,경도,주소2
우리들소아청소년과의원, 의원,1,0,0,제주특별자치도 제주시 연북로 38,33.4816497749802,126.485403352408,노형동
오정헌내과의원, 의원,1,0,0,제주특별자치도 제주시 우정로8길 2,33.4893639324779,126.430679405636,외도일동
예일소아과의원, 의원,1,0,0,제주특별자치도 제주시 연북로 40 ,33.4816329345296,126.485625199268,노형동
연세내과의원, 의원,1,0,0,제주특별자치도 제주시 구좌읍 세화3길 2,33.5236129426723,126.856022042717,구좌읍 세화리
애월정의원, 의원,1,0,0,제주특별자치도 제주시 애월읍 애월로 109,33.4648651779604,126.319188072199,애월읍 애월리
시원의원, 의원,1,0,0,제주특별자치도 제주시 한림읍 한림중앙로 46 ,33.4105960192047,126.265107178745,한림읍 한림리
서울아산신경외과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 301,33.5008427104047,126.528435749276,이도일동
서울가정의학과의원, 의원,1,0,0,제주특별자치도 제주시 조천읍 신촌4길 2 201동 101호 ,33.5329417165966,126.619384935976,조천읍 신촌리
더맑은이비인후과의원, 의원,1,0,0,제주특별자치도 제주시 동화로 28,33.5178427402212,126.572794072486,화북일동
다사랑의원, 의원,1,0,0,제주특별자치도 제주시 신대로 128 ,33.4858517995196,126.496059583157,연동
노형이비인후과의원, 의원,1,0,0,제주특별자치도 제주시 월랑로 1,33.4863844954209,126.478567739143,노형동
노동의원, 의원,1,0,0,제주특별자치도 제주시 만덕로3길 2,33.5149345777914,126.532215713718,건입동
고순희내과의원, 의원,1,0,0,제주특별자치도 제주시 서사로 155 ,33.4984631916553,126.520043633981,삼도일동
고려의원, 의원,1,0,0,제주특별자치도 제주시 구좌읍 세화10길 1,33.5208355861818,126.858782714682,구좌읍 세화리
현 비뇨의학과 의원, 의원,1,0,0,제주특별자치도 서귀포시 대정읍 하모상가로 49,33.2221082143923,126.253974122864,대정읍 하모리
한라성심의원, 의원,1,0,0,제주특별자치도 제주시 동광로 107,33.5063922715212,126.538755973917,일도이동
표선의원, 의원,1,0,1,제주특별자치도 서귀포시 표선면 표선동서로 225,33.3242518318003,126.831621729203,표선면 표선리
탐라미의원, 의원,1,0,0,제주특별자치도 제주시 서해안로 24,33.4998504889239,126.456850045358,이호일동
킴스연합의원, 의원,1,0,0,제주특별자치도 서귀포시 동홍중앙로 49 ,33.2550558185613,126.57183575331,동홍동
청담루이성형외과의원, 의원,1,0,0,제주특별자치도 제주시 노형14길 14,33.484497219176,126.479775295979,노형동
임덕방사선과의원, 의원,0,0,0,제주특별자치도 제주시 중앙로 77 ,33.5112411910527,126.524560673505,이도일동
성산제일정형외과의원, 의원,0,0,0,제주특별자치도 서귀포시 성산읍 동류암로36번길 16,33.4499157847465,126.915741296905,성산읍 고성리
서울의원, 의원,0,0,0,제주특별자치도 서귀포시 일주동로 8610,33.2549066930317,126.56844600676,동홍동
삼양가정의원, 의원,1,0,0,제주특별자치도 제주시 일주동로 366 ,33.5208841725461,126.584080157623,삼양이동
해랑소아청소년과의원, 의원,1,0,0,제주특별자치도 서귀포시 동문로 5,33.2523432454262,126.562068685543,서귀동
한라이비인후과의원, 의원,1,0,0,제주특별자치도 서귀포시 일주동로 8675 ,33.2530177709473,126.561689408622,서귀동
한관지이비인후과의원, 의원,1,0,1,제주특별자치도 서귀포시 중정로 56-1 ,33.2474900546883,126.562456976462,서귀동
하나의원, 의원,1,0,0,제주특별자치도 서귀포시 중정로 76 ,33.2479212053484,126.564483756251,서귀동
푸른소아청소년과의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 35-1 ,33.2478641206696,126.561606221084,서귀동
우리의원, 의원,1,0,0,제주특별자치도 서귀포시 성산읍 동류암로36번길 23 ,33.4496175289055,126.915076362584,성산읍 고성리
우리들소아과의원, 의원,1,0,0,제주특별자치도 서귀포시 중정로 70,33.24777808645,126.563831943749,서귀동
서귀포내과의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 89,33.2525963969071,126.56042567209,서귀동
본의원, 의원,1,0,0,제주특별자치도 서귀포시 일주동로 9213,33.248712252659,126.508491059708,법환동
바른정의원, 의원,1,0,0,제주특별자치도 제주시 성지로 76-1 ,33.5115250525451,126.531362263895,일도이동
미우성형외과의원, 의원,1,0,0,제주특별자치도 제주시 노형로 407,33.485821410903,126.478301044424,노형동
문의원, 의원,1,0,1,제주특별자치도 제주시 한림읍 한림로 652 ,33.4138298431515,126.262874767005,한림읍 한림리
