이름,주소,주소2,위도,경도,구분
엉또폭포,제주특별자치도 서귀포시 염돈로 121-8 (강정동),강정동,33.2588214911558,126.49191775419,12
엉알해안,제주특별자치도 제주시 한경면 고산리 3427-33,한경면 고산리,33.2988358632777,126.168604170614,13
연화못,제주특별자치도 제주시 애월읍 고하상로,한경면 청수리,33.4443085845117,126.356487811298,12
영실기암,제주특별자치도 서귀포시 하원동,하원동,33.2785360586219,126.4660226653,11
영천악(영천오름),제주특별자치도 서귀포시 516로 652,상효동,33.3082895248446,126.599409871487,11
예래해안도로,제주특별자치도 서귀포시 예래해안로,하예동,33.2378107424623,126.39034473571,11
예초리해변,제주특별자치도 제주시 추자면 예초리,추자면 예초리,33.9523114131961,126.333917300094,11
오라동청보리-메밀꽃밭,제주특별자치도 제주시 오라2동 산 76,오라이동,33.4271589152458,126.505783566255,13
온평리포구,제주특별자치도 서귀포시 성산읍 온평리,성산읍 온평리,33.4094385917563,126.897272828611,13
올레산야초,제주특별자치도 제주시 애월읍 유수암서길 57,애월읍 유수암리,33.4272146205382,126.391910903289,12
옹포천,제주특별자치도 제주시 한림읍 한림로 563,한림읍 옹포리,33.4075426539332,126.2572717177,12
왕이메오름,제주특별자치도 서귀포시 안덕면 광평리 산 79,안덕면 광평리,33.3402649312286,126.374161518111,13
외돌개,제주특별자치도 서귀포시 서홍동 791,서홍동,33.240076867127,126.545663944153,12
용담/용두암해안도로,제주특별자치도 제주시 서해안로 687-8,용담이동,33.5155491953863,126.512092759277,11
용두암,제주특별자치도 제주시 용두암길 15,용담이동,33.5148035919525,126.511798046978,13
용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,안덕면 사계리,33.2334821266939,126.314630553022,12
용연,제주특별자치도 제주시 흥운길 73,용담이동,33.5152034015614,126.513987656046,12
용연카누클럽,제주특별자치도 제주시 흥운길 79,용담이동,33.5156397160603,126.513927739567,13
우도(해양도립공원),제주특별자치도 제주시 우도면 삼양고수물길 1,우도면 연평리,33.5194719510559,126.951016739939,12
우도등대,제주특별자치도 제주시 우도면 우도봉길 105,우도면 연평리,33.4929711168335,126.965120541552,13
우도비양도,제주특별자치도 제주시 우도면 연평리,우도면 연평리,33.5059831398525,126.960256641493,12
우도산호해변홍조단괴서빈백사,제주특별자치도 제주시 우도면 우도해안길 252,우도면 연평리,33.5026665933324,126.94374024047,13
우포토시네마갤러리카페,제주특별자치도 서귀포시 대정읍 상모로 216-2,대정읍 상모리,33.2253039188155,126.265921815377,12
원앙폭포,제주특별자치도 서귀포시 돈내코로 137,상효동,33.3005023955254,126.581950534184,12
월대천,제주특별자치도 제주시 월대6길 5,외도이동,33.4935250574689,126.435988376222,12
월라봉진지동굴(안덕면),제주특별자치도 서귀포시 안덕면 감산리 1803,안덕면 감산리,33.2442631470324,126.342016602415,11
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,한림읍 월령리,33.3778781706577,126.215431427208,12
월정리해변,제주특별자치도 제주시 구좌읍 월정리 33-3,구좌읍 월정리,33.555112541169,126.798640676717,13
월정리해안도로,제주특별자치도 제주시 구좌읍 월정리 652-4,구좌읍 월정리,33.5565877379485,126.79491098263,11
위미리동백나무군락,제주 서귀포시 위미중앙로300번길 15,남원읍 위미리,33.2727234850834,126.675138292326,12
위미항,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,남원읍 위미리,33.2712754655094,126.662380310247,11
이로이로공방,제주특별자치도 제주시 구좌읍 하도7길 16-11,구좌읍 하도리,33.5157158079828,126.886353455916,12
이음새농장,제주특별자치도 서귀포시 남원읍 위미리 4137-1,남원읍 위미리,33.2757921947327,126.651438628596,12
이호-내도해안도로,제주특별자치도 제주시 테우해안로 60,내도동,33.4961752036017,126.441226098858,11
이호테우해수욕장,제주특별자치도 제주시 도리로 20,이호이동,33.4961965681116,126.455892860155,12
일출랜드아트센터,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,성산읍 삼달리,33.3849993747039,126.839859897606,12
자구내포구,제주특별자치도 제주시 한경면 고산리,한경면 고산리,33.2916117743137,126.168933783656,12
자구리공원,제주특별자치도 서귀포시 칠십리로 145,서귀동,33.2443792573728,126.568940792596,11
정모시쉼터,제주특별자치도 서귀포시 부두로5번길 9,서귀동,33.2447148448718,126.566192015368,12
정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,동홍동,33.2447479528836,126.573050130319,12
정의향교,제주특별자치도 서귀포시 표선면 성읍서문로 14,표선면 성읍리,33.386875270599,126.800070084623,13
제주돌창고,제주특별자치도 제주시 한경면 조수7길 8,한경면 조수리,33.3370930657094,126.233568586711,13
제주미래교육연구원과학탐구체험장,제주특별자치도 제주시 산록북로 421,오라이동,33.4262196998869,126.531856332867,13
제주신화전설탐방로,제주특별자치도 서귀포시 안덕면 녹차분재로 218,안덕면 서광리,33.3042074038577,126.299661501283,11
제주양떼목장,제주특별자치도 제주시 애월읍 도치돌길 289-13,애월읍 납읍리,33.4113577044158,126.365216349094,12
제주올레15-A코스,제주특별자치도 제주시 애월읍 납읍리 2695-5,애월읍 납읍리,33.4302324019451,126.319281287473,13
제주올레3코스,제주특별자치도 서귀포시 표선면 하천리 87-1,표선면 하천리,33.3335532654557,126.844533463506,13
제주올레6코스,제주특별자치도 서귀포시 보목동 1377-4,보목동,33.2371501897263,126.596001249754,13
제주절물자연휴양림,제주특별자치도 제주시 명림로 584,봉개동,33.4400488067904,126.625203401207,12
제주조천스위스마을,제주특별자치도 제주시 조천읍 함와로 566-27,조천읍 와산리,33.4939459216843,126.676774382162,12
조함해안도로,제주특별자치도 제주시 조천읍 조천리 3037-3,조천읍 조천리,33.5438453046155,126.636893373002,11
종달고망난돌쉼터,제주 제주시 구좌읍 종달리 112-4,구좌읍 종달리,33.509955069228,126.907304145391,11
종달리수국길,제주 제주시 구좌읍 김녕리,구좌읍 김녕리,33.5501078240443,126.757835437154,12
종달리전망대,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,구좌읍 종달리,33.5036648564977,126.912640565732,11
종달리해변,제주특별자치도 제주시 구좌읍 종달리 565-72,구좌읍 종달리,33.4963381350727,126.909476816599,11
주상절리대(중문대포해안),제주특별자치도 서귀포시 이어도로 36-30,중문동,33.2379943545484,126.426017654679,11
중문색달해변(해산물),제주특별자치도 서귀포시 색달동 3039,색달동,33.247360595025,126.40661270926,11
천제연폭포,제주특별자치도 서귀포시 천제연로 132(중문동),중문동,33.2526754970693,126.418374242413,12
천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,서홍동,33.2447168409268,126.559551124451,12
추자도,제주 제주시 추자면,추자면,33.9637161687124,126.296120635115,12
추자도숭어체험장,제주특별자치도 제주시 추자면 석두리길 4,추자면 신양리,33.9399500569763,126.323477215678,11
카멜리아힐,제주 서귀포시 안덕면 병악로 166,안덕면 상창리,33.290140185764,126.368365225196,12
카페물결,제주특별자치도 제주시 사라봉동길 108-1,건입동,33.5213876634633,126.545793983742,13
큰바리메오름,제주특별자치도 제주시 애월읍 어음리 산 21,애월읍 어음리,33.3776829022174,126.387113528925,13
키아나요가,제주특별자치도 서귀포시 안덕면 사계남로50번길 1,안덕면 사계리,33.2271887397601,126.295646266469,13
탑동,제주특별자치도 제주시 중앙로 2,삼도이동,33.518147567942,126.523954676516,12
탑동해변공연장,제주특별자치도 제주시 중앙로 2,삼도이동,33.518147567942,126.523954676516,11
태웃개,제주특별자치도 서귀포시 남원읍 태위로398번길 57,남원읍 위미리,33.2706439250347,126.690896562608,12
태흥포구,제주특별자치도 서귀포시 남원읍 태흥리,남원읍 태흥리,33.2901401164293,126.741584924955,11
토끼섬,제주특별자치도 제주시 구좌읍 하도리,구좌읍 하도리,33.5187514629657,126.883021484083,12
톨칸이,제주특별자치도 제주시 우도면 연평리 1732-1,우도면 연평리,33.4920550485068,126.95444858672,11
통오름,제주특별자치도 서귀포시 성산읍 신산리 1754-1,성산읍 신산리,33.3923362173333,126.854202154668,11
파파빌레,제주특별자치도 제주시 조천읍 남조로 2185,조천읍 와흘리,33.4604763985555,126.661081998357,11
판포포구,제주특별자치도 제주시 한경면 판포리 2877-3,한경면 판포리,33.3654101549332,126.199622693529,13
평대리해변,제주특별자치도 제주시 구좌읍 평대리 515-24,구좌읍 평대리,33.5323119124785,126.84808056301,13
평대해변,제주특별자치도 제주시 구좌읍 평대리 1994-20,구좌읍 평대리,33.5332595782055,126.840546430131,11
표선세화해안도로,제주특별자치도 서귀포시 표선면 표선리,표선면 표선리,33.3265291020204,126.828739926647,11
푸른콩방주영농조합법인,제주특별자치도 서귀포시 중산간서로 740(중문동),중문동,33.2632506665222,126.436120228453,13
